AGROAR - TRABALHOS AEREOS LDA.,GRR
AGROLET-MCI LTD,AGZ
AHK AIR HONG KONG LIMITED,AHK
AHS AIR INTERNATIONAL (PVT) LTD,AHS
AIGLE AZUR,AAF
AIM AIR,AAM
AIM AVIATION,AIF
"AIR 1ST AVIATION COMPANIES OF OKLAHOMA, INC. (TULSA, OK)",RUF
AIR ADA,RDM
AIR ADRIATIC,AHR
AIR AFFAIRES TCHAD,FTC
AIR AFGHANISTAN INTERNATIONAL,AFH
AIR AFRICA INTERNATIONAL LTD,GEM
AIR ALBATROS,WBA
AIR ALBORAN S.L.,AHB
AIR ALFA HAVA YOLLARI VE TIC. A.S.,LFA
AIR ALGERIE,DAH
AIR ALIZE,RLZ
"AIR ALLIANCE EXPRESS AG & CO. KG, BURBACH",AYY
AIR ALMATY,LMY
AIR ALPHA A/S,AHA
"AIR ALPHA, INC. (CINCINNATI, OH)",DBA
AIR ALPS AVIATION GES.M.B.H.,LPV
AIR ALSIE A/S,MMD
AIR AMBULANCE MALTA,ELP
AIR AMBULANCE SERVICES LIMITED,ABZ
AIR AMDER SA,RMD
"AIR AMERICA, INC (CAROLINA, PR)",AMI
AIR ANATOLIA (ANADOLU HAVACILIK A.S.),NTL
AIR ARABIA,ABY
AIR ARABIA EGYPT,RBG
AIR ARABIA MAROC,MAC
AIR ARCHIPELS,RHL
AIR ARMENIA,ARR
AIR ASIA BHD.,AXM
"AIR ASIA, INC. PHILIPPINES",APG
AIR ASTANA,KZR
AIR ATLANTA ICELANDIC,ABD
AIR ATLANTIC (NIG) LIMITED,ANI
AIR ATLANTIC URUGUAY S.A.,AUM
AIR ATLANTIQUE,AAG
AIR ATTACK TECHNOLOGIES,MGT
"AIR AURORA, INC. (SUGAR GROVE, IL)",AAI
AIR AUSTRAL,REU
AIR BAFFIN,BFF
AIR BAGAN LIMITED,JAB
AIR BALTIC CORPORATION JSC,BTI
AIR BALTIC EASTERN,BTE
AIR BAN,LZP
AIR BANGLADESH (PVT) LIMITED,BGD
AIR BASHKORTOSTAN LTD,BBT
AIR BATUMI,BTM
"AIR BERLIN PLC & CO. LUFTVERKEHRS KG, BERLIN",BER
AIR BISHKEK,EAA
AIR BISSAU INTERNATIONAL LDA,BSA
AIR BOHEMIA A.S.,BOH
"AIR BOTSWANA (PTY.), LTD.",BOT
AIR BRASIL LINHAS AEREAS LTDA,BSL
AIR BRAVO,BRF
AIR BRIGHT LTD,RBI
AIR BTR LTD,TBR
AIR BURKINA,VBW
AIR BUSAN,ABL
AIR CAIRO,MSC
AIR CALEDONIE,TPC
AIR CALEDONIE INTERNATIONAL,ACI
AIR CANADA,ACA
AIR CANADA ROUGE,ROU
AIR CANNES MEDITERRANEE,RCM
AIR CARAIBES,FWI
AIR CARAIBES ATLANTIQUE,CAJ
"AIR CARE ALLIANCE (STORRS, CT)",CMF
"AIR CARGO CARRIERS, INC. (MILWAUKEE, WI)",SNC
AIR CARGO CENTER,GRI
"AIR CARGO EXPRESS, INC. (LITTLE ROCK, AR)",TDG
"AIR CARGO MASTERS, INC. (SIOUX FALLS, SD)",RNR
AIR CARGO MONGOLIA,MGC
AIR CARGO TRANSPORTATION SYSTEM LIMITED,ACU
AIR CASSAI LDA.,RCI
AIR CAUCASUS LTD,CSG
"AIR CENTER HELICOPTERS, INC. (FORT WORTH, TX)",RAP
AIR CENTRAL ASIA,AAT
"AIR CENTURY, S.A.",CEY
